20231010 082100;15207.5;15213.75;15206.75;15212;189
20231010 082200;15212.5;15218.75;15211.5;15218.25;243
20231010 082300;15218.5;15219.25;15214.25;15217.25;234
20231010 082400;15218;15225.5;15217.5;15223.5;288
20231010 082500;15224;15224;15219.5;15222.25;149
20231010 082600;15221.75;15229.25;15221.75;15227;335
20231010 082700;15226.5;15233;15226;15232.5;320
20231010 082800;15232.25;15232.75;15226.5;15226.5;245
20231010 082900;15226.5;15231.25;15226;15230;182
20231010 083000;15229.75;15234.5;15229.5;15232.75;333
20231010 083100;15233;15239;15232;15237;451
20231010 083200;15236.75;15237.75;15229;15229.5;314
20231010 083300;15229.75;15234.75;15229.25;15234.75;161
20231010 083400;15234.75;15237.75;15233;15237.75;260
20231010 083500;15238;15239.25;15231;15232;298
20231010 083600;15232.25;15232.25;15227.25;15228.25;358
20231010 083700;15228.25;15232;15227.25;15231.25;126
20231010 083800;15231.5;15231.5;15228;15229.5;112
20231010 083900;15230;15233;15229.75;15232.5;215
20231010 084000;15232;15234.5;15231;15233.5;154
20231010 084100;15232.25;15232.25;15226;15227;178
20231010 084200;15227.25;15228.25;15222;15224;225
20231010 084300;15224;15227.5;15223;15225;167
20231010 084400;15224.5;15225;15219.5;15220.5;153
20231010 084500;15220.5;15222.5;15216.25;15222.25;231
20231010 084600;15221.75;15226.25;15221.5;15225.5;128
20231010 084700;15225.75;15230;15225.25;15226.75;188
20231010 084800;15227.5;15229.25;15226.75;15227.5;74
20231010 084900;15227.5;15232;15226.25;15231.25;100
20231010 085000;15231;15234;15229.75;15233;164
20231010 085100;15233;15234.75;15229;15230.75;140
20231010 085200;15232;15236.75;15231.5;15235;161
20231010 085300;15234.25;15235;15232.75;15233.5;115
20231010 085400;15233.75;15234.5;15230;15233.5;119
20231010 085500;15233.75;15235;15231.75;15232.75;114
20231010 085600;15232.5;15237.25;15232.5;15233.5;362
20231010 085700;15233.5;15233.5;15225.5;15228.75;273
20231010 085800;15229;15232.25;15228;15228;102
20231010 085900;15228.5;15229.5;15226;15229.5;138
20231010 090000;15229.75;15229.75;15226.5;15229.5;114
20231010 090100;15229.5;15230;15222.75;15223.5;185
20231010 090200;15223;15223.75;15215.5;15216.5;435
20231010 090300;15216.75;15218.5;15216.25;15218.5;151
20231010 090400;15218;15220;15217;15219.25;111
20231010 090500;15219;15221.5;15217;15221.5;184
20231010 090600;15221.5;15223.5;15220;15222;129
20231010 090700;15220.75;15222.5;15216.5;15216.75;112
20231010 090800;15217;15220;15216.5;15217.75;92
20231010 090900;15218;15218.75;15211.75;15213.5;373
20231010 091000;15213.5;15217.75;15213.5;15216.5;100
20231010 091100;15216;15221;15215.5;15216.5;135
20231010 091200;15216.75;15221.25;15216.75;15221.25;54
20231010 091300;15220.75;15221.25;15213.5;15214.5;202
20231010 091400;15214.25;15215.75;15212.75;15213.75;59
20231010 091500;15214;15214.5;15210.5;15211.5;119
20231010 091600;15211;15216.25;15210.75;15215.5;120
20231010 091700;15215.5;15220.5;15215;15220;104
20231010 091800;15219.75;15222;15218.25;15221.25;262
20231010 091900;15221.5;15221.5;15217.75;15218.5;80
20231010 092000;15218.25;15218.75;15215.75;15217.75;84
20231010 092100;15218;15222.75;15217.25;15219.25;161
20231010 092200;15219.75;15219.75;15217.25;15219.25;72
20231010 092300;15219.5;15220.25;15216.5;15217.25;115
20231010 092400;15217.75;15222.75;15217.75;15221.25;176
20231010 092500;15221.5;15221.75;15219.5;15219.5;78
20231010 092600;15220;15224.5;15218.25;15222.25;251
20231010 092700;15222.5;15223;15219.5;15222.75;83
20231010 092800;15223;15225.5;15220.5;15220.5;96
20231010 092900;15221.25;15225;15221.25;15223.75;102
20231010 093000;15224;15224.75;15223.5;15223.75;41
20231010 093100;15224.25;15224.25;15213;15213.75;189
20231010 093200;15213.5;15216.75;15213;15216.75;122
20231010 093300;15217;15219.75;15216.25;15219;103
