symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MCLZ3,-2,0,0.01,23603390626,23603390636,1,83.77,83.68,$(9.00),10/24/2023 13:53:25,10/24/2023 13:57:14,3min 49sec
MESZ3,-2,0,0.25,23603390663,23603390648,1,4276.50,4288.00,$57.50,10/24/2023 14:02:44,10/24/2023 14:02:16,28sec
MCLZ3,-2,0,0.01,23603390689,23603390681,1,83.65,83.61,$(4.00),10/25/2023 09:25:42,10/25/2023 09:25:22,20sec
MCLZ3,-2,0,0.01,23603390737,23603390699,1,84.14,83.69,$(45.00),10/25/2023 09:45:13,10/25/2023 09:26:56,18min 17sec
MCLZ3,-2,0,0.01,23603390759,23603390749,1,84.30,83.90,$(40.00),10/25/2023 10:05:52,10/25/2023 10:00:17,5min 34sec
MCLZ3,-2,0,0.01,23603390772,23603390804,1,84.35,85.01,$66.00,10/25/2023 10:25:54,10/25/2023 11:17:36,51min 41sec
MCLZ3,-2,0,0.01,23603390835,23603390827,1,83.73,83.81,$8.00,10/26/2023 08:17:18,10/26/2023 08:17:01,17sec
MCLZ3,-2,0,0.01,23603390841,23603390848,1,84.13,83.85,$(28.00),10/26/2023 08:39:04,10/26/2023 09:00:46,21min 41sec
MCLZ3,-2,0,0.01,23603390860,23603390870,1,84.19,83.93,$(26.00),10/26/2023 10:00:13,10/26/2023 10:14:58,14min 44sec
MCLZ3,-2,0,0.01,23603390898,23603390908,1,83.82,83.68,$(14.00),10/26/2023 10:31:16,10/26/2023 10:33:53,2min 37sec
MCLZ3,-2,0,0.01,23603390917,23603390924,1,83.72,84.05,$33.00,10/26/2023 10:42:44,10/26/2023 11:04:29,21min 45sec
MESZ3,-2,0,0.25,23603390939,23603390879,1,4150.25,4157.75,$37.50,10/26/2023 11:32:17,10/26/2023 10:21:37,1h 10min 40sec
MCLZ3,-2,0,0.01,23603390960,23603390971,1,84.05,83.82,$(23.00),10/27/2023 08:32:55,10/27/2023 08:37:38,4min 42sec
MCLZ3,-2,0,0.01,23603390990,23603390980,1,83.87,83.68,$(19.00),10/27/2023 09:05:52,10/27/2023 09:01:51,4min 1sec
MCLZ3,-2,0,0.01,23603391006,23603390999,1,84.00,83.83,$(17.00),10/27/2023 09:07:31,10/27/2023 09:06:10,1min 20sec
MCLZ3,-2,0,0.01,23603391015,23603391031,1,84.01,83.87,$(14.00),10/27/2023 09:07:35,10/27/2023 09:11:00,3min 24sec
MCLZ3,-2,0,0.01,23603391053,23603391043,1,84.02,83.83,$(19.00),10/27/2023 09:13:50,10/27/2023 09:11:19,2min 31sec
MCLZ3,-2,0,0.01,23603391075,23603391062,1,83.95,84.06,$11.00,10/27/2023 09:20:26,10/27/2023 09:14:07,6min 19sec
MESZ3,-2,0,0.25,23603391099,23603391084,1,4164.50,4168.75,$21.25,10/27/2023 09:33:43,10/27/2023 09:30:44,2min 59sec
MESZ3,-2,0,0.25,23603391122,23603391113,1,4158.00,4162.00,$20.00,10/27/2023 10:15:12,10/27/2023 09:34:33,40min 39sec
MESZ3,-2,0,0.25,23603391130,23603391148,1,4154.50,4155.00,$2.50,10/27/2023 10:26:36,10/27/2023 10:31:33,4min 56sec
MESZ3,-2,0,0.25,23603391139,23603391148,1,4154.50,4155.00,$2.50,10/27/2023 10:26:51,10/27/2023 10:31:33,4min 41sec
MCLZ3,-2,0,0.01,23603391158,23603391165,1,84.27,84.31,$4.00,10/27/2023 10:37:59,10/27/2023 10:42:27,4min 28sec
MCLZ3,-2,0,0.01,23603391181,23603391174,1,84.34,84.33,$(1.00),10/27/2023 10:42:31,10/27/2023 10:42:28,3sec
MESZ3,-2,0,0.25,23603391197,23603391211,2,4160.25,4155.00,$(52.50),10/30/2023 08:35:52,10/30/2023 08:43:34,7min 41sec
MESZ3,-2,0,0.25,23603391222,23603391231,2,4159.25,4164.50,$52.50,10/30/2023 08:48:55,10/30/2023 08:51:55,2min 59sec
MESZ3,-2,0,0.25,23603391245,23603391257,2,4164.00,4166.00,$20.00,10/30/2023 09:00:51,10/30/2023 09:01:34,42sec
MYMZ3,0,0,1.0,23603391283,23603391296,2,32841,32857,$16.00,10/30/2023 09:46:00,10/30/2023 09:53:04,7min 4sec
MESZ3,-2,0,0.25,23603391271,23603391307,2,4167.50,4168.00,$5.00,10/30/2023 09:35:36,10/30/2023 09:53:12,17min 36sec
MCLZ3,-2,0,0.01,23603391351,23603391334,1,82.87,83.02,$15.00,10/31/2023 08:50:00,10/31/2023 08:25:52,24min 7sec
NGZ3,-3,0,0.001,23603391389,23603391376,1,3.534,3.538,$40.00,10/31/2023 09:27:07,10/31/2023 09:16:30,10min 37sec
NGZ3,-3,0,0.001,23603391403,23603391412,1,3.572,3.588,$160.00,10/31/2023 10:06:37,10/31/2023 10:15:30,8min 52sec
MCLZ3,-2,0,0.01,23603391423,23603391366,1,82.36,82.42,$6.00,10/31/2023 10:18:27,10/31/2023 09:14:55,1h 3min 31sec
ESZ3,-2,0,0.25,23603391451,23603391461,1,4221.25,4223.50,$112.50,11/01/2023 07:43:22,11/01/2023 07:46:59,3min 36sec
MCLZ3,-2,0,0.01,23603391429,23603391482,1,82.11,82.88,$77.00,10/31/2023 10:41:35,11/01/2023 08:02:09,21h 20min 33sec
MYMZ3,0,0,1.0,23603391472,23603391503,2,33239,33258,$19.00,11/01/2023 08:00:06,11/01/2023 08:20:33,20min 26sec
NGZ3,-3,0,0.001,23603391491,23603391511,1,3.444,3.458,$140.00,11/01/2023 08:16:05,11/01/2023 08:23:14,7min 9sec
MCLZ3,-2,0,0.01,23603391523,23603391543,1,81.94,81.96,$2.00,11/01/2023 09:42:51,11/01/2023 09:42:57,6sec
MCLZ3,-2,0,0.01,23603391556,23603391576,1,82.18,82.11,$(7.00),11/01/2023 09:50:50,11/01/2023 09:51:00,9sec
ESZ3,-2,0,0.25,23603391602,23603391611,2,4301.75,4309.00,$725.00,11/02/2023 08:17:40,11/02/2023 08:28:51,11min 11sec
ESZ3,-2,0,0.25,23603391622,23603391652,10,4320.00,4322.00,"$1,000.00",11/02/2023 08:53:04,11/02/2023 10:46:31,1h 53min 27sec
MESZ3,-2,0,0.25,23603391663,23603391318,2,4322.25,4175.25,"$(1,470.00)",11/02/2023 10:46:41,10/30/2023 11:26:48,71h 19min 52sec
MCLZ3,-2,0,0.01,23603391706,23603391687,1,77.81,78.02,$21.00,11/07/2023 11:28:48,11/07/2023 11:02:19,26min 29sec
NGZ3,-3,0,0.001,23603391715,23603391696,1,3.137,3.141,$40.00,11/07/2023 11:54:51,11/07/2023 11:23:10,31min 41sec
NGZ3,-3,0,0.001,23603391745,23603391733,1,3.115,3.123,$80.00,11/08/2023 09:39:44,11/08/2023 09:31:42,8min 1sec
MCLZ3,-2,0,0.01,23603391767,23603391775,1,77.12,77.55,$43.00,11/10/2023 10:35:47,11/10/2023 10:37:23,1min 35sec
NGZ3,-3,0,0.001,23603391789,23603391803,1,3.156,3.162,$60.00,11/14/2023 10:32:27,11/14/2023 10:48:25,15min 58sec
